공통표준단어명,공통표준단어영문약어명,공통표준단어 영문명,공통표준단어 설명,형식단어여부,공통표준도메인분류명,이음동의어 목록,금칙어 목록,제정차수,"개정구분명(폐기 또는 변경)",개정항목,개정사유
건축물,BDST,Buildings & Structures,"建築物. 땅 위에 지은 구조물 중에서 지붕, 기둥, 벽이 있는 건물을 통틀어 이르는 말",N,,,,5차(2022-07),,,
건축물대장,BDRG,Building Register,"建築物臺帳. 건축물의 소재, 구조, 면적 및 소유자의 주소, 성명 따위를 적은 문서",N,,,,2차(2020-12),,,
건축비,CNSTCO,Construction Cost,建築費. 건축하는 데 드는 비용,Y,비용,,,8차(2025-11),,,
건축주,BDONR,Building Owner,建築主. 건축에 관한 공사를 청부 계약할 때 그 주문자. 또는 청부 계약을 하지 않고 스스로 공사를 하는 사람,N,,,,8차(2025-11),,,
건폐율,BDCVRT,Building Coverage Ratio,建蔽率. 대지 면적에 대한 건물의 바닥 면적의 비율. 건축 밀도를 나타내는 지표의 하나,Y,율,,,4차(2021-12),,,
검사,INSP,Inspection,檢査. 사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일,N,,,,1차(2020-08),,,
검사소,INSOFC,Inspection Office,檢査所. 검사를 주 업무로 하는 기관이나 단체,N,,,,8차(2025-11),,,
검사자,TSTR,Tester,檢査者. 몸이나 사물의 상태를 조사하여 옳고 그름과 낫고 못함을 일정한 기준에 비추어 판단하는 일을 하는 사람,N,,,,6차(2023-11),,,
검색,SRCH,Search,"檢索. 책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아내는 일",N,,,,4차(2021-12),,,
검색어,SRWRD,Search Word,檢索語. 주로 인터넷상에서 찾아야 하거나 찾은 말,N,,,,7차(2024-11),,,
검수,IGI,Incoming Goods Inspection,"檢收. 물건의 규격, 수량, 품질 따위를 검사한 후 물건을 받음",N,,,,4차(2021-12),,,
검수자,CHCKR,Checker,"檢收者. 물건의 규격, 수량, 품질 따위를 검사한 후 물건을 받는 사람",N,,,,4차(2021-12),,,
검정,RCGN,Recognition,"檢定. 일정한 규정에 따라 자격이나 조건을 검사하여 결정하거나 또는 어떤 자격에 필요한 지식, 학력, 기술 따위가 있는지 검정하기 위하여 실시하는 시험",N,,,,2차(2020-12),,,
검증,VRFC,Verification,檢證. 어떤 대상의 성질이나 상태 따위를 인식하여 조사하는 일,N,,,,1차(2020-08),,,
검진,CKUP,Checkup,檢診. 건강 상태와 질병의 유무를 알아보기 위하여 증상이나 상태를 살피는 일,N,,,,6차(2023-11),,,
검출,DTCT,Detection,"檢出. 화학 분석에서, 물질 속에 어떤 화학 성분이나 미생물이 있는지를 검사하여 확인하는 일",N,,,,7차(2024-11),,,
검침,MTRD,Meter Reading,"檢針. 전기, 수도, 가스 따위의 사용량을 알기 위하여 계량기의 숫자를 검사함",N,,,,7차(2024-11),,,
검토,RVW,Review,檢討. 어떤 사실이나 내용을 분석하여 따짐,N,,,,1차(2020-08),,,
검토자,RVWR,Reviewer,檢討者. 어떤 사실이나 내용을 분석하여 따지는 사람,N,,,,4차(2021-12),,,
게시,PSTG,Posting,揭示. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 함. 또는 그런 물건,N,,,,1차(2020-08),,,
게시물,PST,Post,揭示物. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글,N,,,,4차(2021-12),,,
게시자,PBLR,Publisher,揭示者. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 사람,N,,,,2차(2020-12),,,
게시판,BBS,Bulletin Board System,揭示板. 여러 사람에게 알릴 내용을 내붙이거나 내걸어 두루 보게 붙이는 판,N,,,,5차(2022-07),,,
게임,GAME,Game,Game. 규칙을 정해 놓고 승부를 겨루는 놀이,N,,,,7차(2024-11),,,
견본,SAMPL,Sample,見本. 전체 상품의 품질이나 상태 따위를 알아볼 수 있도록 내놓아 보이는 물건,N,,,,8차(2025-11),,,
견적,ESTMT,Estimate,見積. 어떤 일을 하는 데 필요한 비용 따위를 미리 어림잡아 계산함 또는 그런 계산,N,,,,6차(2023-11),,,
결격,DSQL,Disqualification,缺格. 필요한 자격을 갖추고 있지 못함,N,,,,8차(2025-11),,,
결과,RSLT,Result,結果. 어떤 원인으로 결말이 생김. 또는 그런 결말의 상태,N,,,,5차(2022-07),,,
결근,ABSWK,Absence From Work,缺勤. 근무해야 할 날에 출근하지 않고 빠짐,N,,,,7차(2024-11),,,
결론,CNCLSN,Conclusion,結論. 말이나 글의 끝을 맺는 부분,N,,맺음말,,8차(2025-11),,,
결산,SOA,Settlement of Accounts,決算. 일정한 기간 동안의 수입과 지출을 마감하여 계산함 또는 그렇게 산출한 계산,N,,,,6차(2023-11),,,
결석,ABSNC,Absence,缺席. 나가야 할 자리에 나가지 않음,N,,,,7차(2024-11),,,
결손,DFCT,Deficit,缺損. 어느 부분이 없거나 잘못되어서 불완전함,N,,,,8차(2025-11),,,
결원,VCNCY,Vacancy,缺員. 사람이 빠져 정원에 차지 않고 빔 또는 그런 인원,N,,,,8차(2025-11),,,
결의,RSLTN,Resolution,決議. 의논하여 결정함. 또는 그런 결정,N,,,,3차(2021-10),,,
결의서,RSDOC,Resolution Document,決意書. 어떤 사안에 대하여 결의한 내용을 적은 문서,N,,,,7차(2024-11),,,
결재,ATRZ,Authorization,決裁. 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함,N,,,,1차(2020-08),,,
결재선,APLN,Approval Line,決裁線. 결재가 이루어지는 과정이나 절차,N,,,,6차(2023-11),,,
결재자,APRVR,Approver,決裁者. 부하가 제출한 안건을 검토하여 허가하거나 승인하는 상관,N,,,,4차(2021-12),,,
결정,DCSN,Decision,決定. 행동이나 태도를 분명하게 정함. 또는 그렇게 정해진 내용,N,,,,1차(2020-08),,,
결제,STLM,Settlement,決濟. 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일,N,,,,1차(2020-08),,,
결제자,STLAGT,"	Settlement Agent",決濟者. 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일을 하는 사람,N,,,,8차(2025-11),,,
결함,DFC,Defect,缺陷. 부족하거나 완전하지 못하여 흠이 되는 부분,N,,,,7차(2024-11),,,
결혼,MRG,Marriage,結婚. 남녀가 정식으로 부부 관계를 맺음,N,,혼인,,3차(2021-10),,,
겸업,SDJB,Side Job,兼業. 주된 직업 외에 다른 일을 겸하여 함 또는 그렇게 하는 일,N,,,,6차(2023-11),,,
겸직,CCPS,Concurrent Position,兼職. 자기의 본디 직무 외에 다른 직무를 겸함 또는 그 직무,N,,,,6차(2023-11),,,
경고,WARN,Warning,警告. 조심하거나 삼가도록 미리 주의를 줌. 또는 그 주의,N,,,,7차(2024-11),,,
경과,ELPS,Elapse,經過. 시간이 지나감,N,,,,6차(2023-11),,,
경과연수,ELYRS,Elapsed Years,經過年數. 시간이 지나간 햇수,Y,수,,,6차(2023-11),,,
경도,LOT,Longitude,經度. 지구 위의 위치를 나타내는 좌표축 중에서 세로로 된 것. 한 지점의 경도는 그 지점을 지나는 자오선과 런던의 그리니치 천문대를 지나는 본초 자오선이 이루는 각도임,Y,경도,,,2차(2020-12),,,
경력,CRR,Career,經歷. 겪어 지내 온 여러 가지 일,N,,,,6차(2023-11),,,
경력연수,EPYRS,Experience Years,經歷年數. 개인이 쌓아온 직업상의 경험 기간,Y,수,,,8차(2025-11),,,
경로,PATH,Path,經路. 지나는 길,N,,,패스,5차(2022-07),,,
경로우대,SNPR,Senior Preference,敬老優待. 노인을 공경하여 특별히 잘 대우함. 또는 그런 대우,N,,,,7차(2024-11),,,
경매,AUCTN,Auction,競賣. 물건을 사려는 사람이 여럿일 때 값을 가장 높이 부르는 사람에게 파는 일,N,,,,6차(2023-11),,,
경비,EPS,Expense,經費. 사업을 경영하거나 운영하는 데 필요한 비용,Y,비용,,,6차(2023-11),,,
경비율,EXPNRT,Expense Rate,經費率. 사업을 경영하거나 운영하는 데 필요한 비용을 백분율로 산정한 것,Y,율,,,8차(2025-11),,,
경사도,GRDNT,Gradient,傾斜度. 기울어진 정도,Y,수,,,8차(2025-11),,,
경상기술료,RNRLTY,Running Royalty,經常技術料. 매출 또는 이익 등에 대하여 일정 비율로 지급하는 기술료,Y,요금,,,8차(2025-11),,,
경상이익,ORDPF,Ordinary Profit,經常利益. 기업의 경영 활동에서 경상적으로 발생하는 이익,Y,금액,,,7차(2024-11),,,
경상자,SLIPR,Slightly Injured Person,輕傷者. 조금 다친 사람,N,,,,7차(2024-11),,,
경영,MNGM,Management,經營. 기업이나 사업 따위를 관리하고 운영함,N,,,,6차(2023-11),,,
경영체,BIZORG,Business Organization,經營體. 관리하고 운영하는 기업이나 사업 따위의 조직체,N,,,,7차(2024-11),,,
경위,CRCM,Circumstances,經緯. 일이 진행되어 온 과정,Y,내용,,,8차(2025-11),,,
경유,VIA,Via,經由. 어떤 곳을 거쳐 지남,N,,,,8차(2025-11),,,
경유지,STPV,Stopover,經由地. 거쳐 지나는 곳,N,,,,7차(2024-11),,,
경작면적,CLTVAR,Cultivation Area,耕作面積. 실제로 농사짓는 땅의 넓이,Y,면적,경작면,,6차(2023-11),,,
경제,ECNM,Economy,經濟. 인간의 생활에 필요한 재화나 용역을 생산·분배·소비하는 모든 활동,N,,,,8차(2025-11),,,
경조,CGCD,Congratulations And Condolences,慶弔. 경축하는 것과 조문(弔問) 하는 일,N,,,,7차(2024-11),,,
경찰서,POLSTN,Police Station,警察署. 경찰 사무를 맡아보는 관청,N,,,,6차(2023-11),,,
경합채권,CMPCLM,Competition Claims,競合債權. 청구할 수 있는 권리가 서로 맞서서 권리가 중복되는 채권,N,,,,6차(2023-11),,,
계급,ECHLN,Echelon,"階級. 사회나 일정한 조직 내에서의 지위, 관직 따위의 단계",N,,,,5차(2022-07),,,
계량,MSR,Measuring,"計量. 수량을 헤아리거나 부피, 무게 따위를 잼",N,,,,7차(2024-11),,,
계량기,MSINS,Measuring Instrument,計量器. 수량을 헤아리는 데 쓰는 기구,N,,,,7차(2024-11),,,
계산,CAL,Calculation,計算. 수를 헤아림,N,,,,6차(2023-11),,,
계산서,BLL,Bill,計算書. 계산한 내용을 자세히 적은 서류,N,,,,6차(2023-11),,,
계산식,CALFM,Calculation Formula,計算式. 주어진 수를 일정한 규칙에 따라 처리하여 수치를 구하는 식,N,,,,7차(2024-11),,,
계수,CFC,Coefficient,"係數. 하나의 수량을 여러 양의 다른 함수로 나타내는 관계식에서, 물질의 종류에 따라 달라지는 비례 상수",Y,율,,,6차(2023-11),,,
계약,CTRT,Contract,契約. 관련되는 사람이나 조직체 사이에서 서로 지켜야 할 의무에 대하여 글이나 말로 정하여 둠. 또는 그런 약속,N,,,,1차(2020-08),,,
계약면적,CTRTAR,Contract Area,"契約面積. 공동주택을 분양할 때 주택공급 면적. 주거전용면적, 주거공용면적 및 그 밖의 공용면적(경비실, 기계실, 노인정, 관리실, 주민공동시설, 보육시설 등)과 지하 주차장 면적을 합한 면적을 말한다",Y,면적,,,6차(2023-11),,,
계약자,CTRTR,Contractor,契約者. 계약을 맺은 사람,N,,,,6차(2023-11),,,
계약직,CTWK,Contract Work,"契約職. 일정한 근로 기간 및 방식, 임금 따위를 계약을 통하여 약정하고 그 기간 내에만 고용이 지속되는 직위나 직무",N,,,,7차(2024-11),,,
계절,SEAS,Season,季節. 규칙적으로 되풀이되는 자연 현상에 따라서 일 년을 구분한 것,N,,,,8차(2025-11),,,
계정,ACNT,Account,"計定. 부기(簿記)의 원장(原帳)에서 같은 종류나 동일 명칭의 자산, 부채, 자본, 수익, 비용, 손실에 대하여 그 증감을 계산/기록하기 위하여 설정한 단위",N,,,,5차(2022-07),,,
계정과목,ACNTL,Account Title,"計定科目. 회계에서, 단위가 되는 각 계정의 명칭",N,,,,5차(2022-07),,,
계좌,BACNT,Bank Account,計座. 금융 기관에 예금하려고 설정한 개인명의나 법인명의 계좌,N,,,,5차(2022-07),,,
계좌번호,ACTNO,Account Number,計座番號. 금융 기관 등에 예금하려고 설정한 개인명의나 법인명의 계좌에 부여하는 식별 번호,Y,계좌번호,,,2차(2020-12),,,
계좌이체,ACTRSF,Account Transfer,計座移替. 한 계좌에 들어 있는 돈을 다른 계좌로 옮김,N,,,,4차(2021-12),,,
계층,LYR,Layer,"Layer. 통신 프로토콜의 구조화를 위한 방법의 하나로, 통신을 위한 전반적인 소프트웨어 및 하드웨어적인 사항의 여러 관련된 부분을 모아서 수직적 구조를 갖도록 한 것",N,,레이어,,5차(2022-07),,,
계통한계가격,SMP,System Marginal Price,"系統限界價格. 전력의 시장 가격을 매길 때, 거래하는 시간별로 일반 발전기의 생산 전력량에 적용하는 값으로 발전회사가 전력을 한전에 판매하는 도매가격이자, 전력시장에서 거래되는 표준가격",Y,가격,,,8차(2025-11),,,
계획,PLAN,Plan,"計劃/計畫. 앞으로 할 일의 절차, 방법, 규모 따위를 미리 헤아려 작정함. 또는 그 내용",N,,,,1차(2020-08),,,
계획량,PLNQTY,Planned Quantity,計劃量. 미리 헤아려 하기로 작정한 분량,Y,수,,,7차(2024-11),,,
계획서,PLDOC,Planning Document,計劃書. 계획한 내용을 담은 서류,N,,,,7차(2024-11),,,
고객,CUST,Customer,顧客. 상점 따위에 물건을 사러 오는 손님,N,,,,2차(2020-12),,,
고도,ALTD,Altitude,高度. 평균 해수면 따위를 0으로 하여 측정한 대상 물체의 높이,Y,수,,,6차(2023-11),,,
고등학교,HGSCHL,High School,高等學校. 중학교를 졸업한 사람에게 고등 보통 교육과 실업 교육을 실시하는 학교,N,,,고교,7차(2024-11),,,
고발,ACSTN,Accusation,告發. 세상에 잘 알려지지 않은 잘못이나 비리 따위를 드러내어 알림,N,,,,6차(2023-11),,,
고시,ANCMNT,Announcement,告示. 글로 써서 게시하여 널리 알림. 주로 행정 기관에서 일반 국민들을 대상으로 어떤 내용을 알리는 경우를 이름,N,,,,1차(2020-08),,,
고용,EPM,Employment,雇用. 삯을 주고 사람을 부림,N,,,,6차(2023-11),,,
고용률,EMPRT,Employment Rate,雇傭率. 15~64세에 해당하는 생산 가능 인구 중 취업한 사람의 비율,Y,율,,,8차(2025-11),,,
고용보험,EPIS,Employment Insurance,"雇用保險. 실업자에게 보험금을 주어 직업 능력의 개발과 향상, 실업자의 생활 안정과 재취업을 지원하는 보험",N,,,,6차(2023-11),,,
고용보험료,EPISPM,Employment Insurance Premium,雇用保險料. 고용 보험에 가입한 사람이 보험자에게 내는 일정한 돈,Y,요금,,,6차(2023-11),,,
고유,UNQ,Unique,固有.본래부터 가지고 있는 특유한 것,N,,,,5차(2022-07),,,
고유식별정보,UII,Unique Identifier Information,"固有識別情報. 개인을 고유하게 구별하기 위해 부여된 식별정보로, 주민등록번호, 여권번호, 운전면허의 면허번호, 외국인등록번호를 말함 (규제「개인정보 보호법」 제24조제1항 및 규제「개인정보 보호법 시행령」 제19조)",N,,,,6차(2023-11),,,
고장,BKDN,Breakdown,故障. 기구나 기계가 제대로 움직이지 못하게 되는 기능상의 장애,N,,,,7차(2024-11),,,
고정,FIX,Fixation,固定. 한번 정한 대로 변경하지 아니함,N,,,,6차(2023-11),,,
고정비,FXCO,Fixed Cost,固定費. 생산량의 변동 여부에 관계없이 일정하게 지출되는 비용,Y,비용,,,8차(2025-11),,,
고정비율,FARTO,Fixed Assets Ratio,"固定比率. 자기 자본에 대한 고정 자산의 비율. 기업의 안정성 측정을 위하여 사용하며, 이 비율이 낮을수록 회사 재정이 건전하다고 할 수 있다",Y,율,,,6차(2023-11),,,
고지,INFRM,Inform,告知. 게시나 글을 통하여 알림,N,,,,1차(2020-08),,,
고지서,NTSH,Notice Sheet,告知書. 법적 권한을 가진 행정 기관 따위에서 세금이나 부담금을 매기어 납부하도록 알리는 문서,N,,,,8차(2025-11),,,
고충,DSTRS,Distress,苦衷. 괴로운 심정이나 사정,N,,,,7차(2024-11),,,
고향사랑,HAFCT,Hometown Affection,故鄕사랑. 자기가 태어나서 자란 곳을 몹시 아끼고 귀중히 여기는 마음 또는 그런 일,N,,,,8차(2025-11),,,
고혈압,HBPR,High Blood Pressure,高血壓. 혈압이 정상 수치보다 높은 증상,N,,,,7차(2024-11),,,
곡선,CURVE,Curve,曲線. 모나지 아니하고 부드럽게 굽은 선,N,,,,8차(2025-11),,,
공가,OFVC,Official Vacation,公暇. 공무원이 얻을 수 있도록 공식적으로 인정되어 있는 휴가,N,,,,8차(2025-11),,,
공개,RLS,Release,"公開. 어떤 사실이나 사물, 내용 따위를 여러 사람에게 널리 터놓음",N,,,,1차(2020-08),,,
공고,PBANC,Public Announcement,"公告. 국가 기관이나 공공 단체에서 일정한 사항을 일반 대중에게 광고, 게시, 또는 다른 공개적 방법으로 널리 알림",N,,,,1차(2020-08),,,
공공,PBL,Public,公共. 국가나 사회의 구성원에게 두루 관계되는 것,N,,,,8차(2025-11),,,
공공기관,PBNST,Public Institution,公共機關. 국가나 사회의 구성원에게 두루 관계되는 기관,N,,,,6차(2023-11),,,
공공누리,KOGL,Korea Open Government License,"公共누리. 공공저작물 자유이용 허락 표시제도. 국가, 지방자치단체, 공공기관이 4가지 공공누리 유형 마크를 통해 개방한 공공저작물 정보를 통합 제공하는 서비스",N,,,,7차(2024-11),,,
